organisationunitname,organisationunitname,periodname,MOH 747A_Combined Oral contraceptive Pills Dispensed,MOH 747A_Cycle Beads Dispensed,MOH 747A_DMPA-IM Dispensed,MOH 747A_DMPA-SC Dispensed,MOH 747A_Emergency Contraceptive pills Dispensed,MOH 747A_Female Condoms Dispensed,MOH 747A_Hormonal IUCD Dispensed,MOH 747A_Implant (2-Rod) – LNG 75mg (5 years) Dispensed,MOH 747A_Implants (1-Rod) – ENG 68mg Dispensed,MOH 747A_Implants (2-Rod) - LNG 75mg (3 years) Dispensed,MOH 747A_Male Condoms Dispensed,MOH 747A_Non-Hormonal IUCD Dispensed
Revised Ministry of Health (2018),Mumbule Dispensary,2021,294,,576,,9,,,181,,,"16,796",1
Revised Ministry of Health (2018),Mumbule Dispensary,2022,416,,631,,,,,123,21,143,"3,888",4
Revised Ministry of Health (2018),Mumbule Dispensary,2023,33,,434,,,,,144,155,38,"16,236",3
Revised Ministry of Health (2018),Mumbule Dispensary,2024,81,,414,,,,,31,29,,"5,508",
Revised Ministry of Health (2018),Mungore dispensary,2020,300,,239,,8,,,54,22,,570,
Revised Ministry of Health (2018),Mungore dispensary,2021,69,,480,,7,,,29,21,,"4,362",
Revised Ministry of Health (2018),Mungore dispensary,2022,939,,304,,,,,24,67,34,"4,230",
Revised Ministry of Health (2018),Mungore dispensary,2023,51,,359,,1,,,66,130,4,"19,165",
Revised Ministry of Health (2018),Mungore dispensary,2024,60,,151,50,,,,40,24,10,"4,032",
Revised Ministry of Health (2018),Musikoma Dispensary,2020,257,,"1,045",,,576,,43,92,,"11,310",3
Revised Ministry of Health (2018),Musikoma Dispensary,2021,105,,463,,,,,286,,,"7,029",
Revised Ministry of Health (2018),Musikoma Dispensary,2022,541,,476,,,,,165,,144,576,3
Revised Ministry of Health (2018),Musikoma Dispensary,2023,19,,470,,1,,,164,200,56,"12,820",2
Revised Ministry of Health (2018),Musikoma Dispensary,2024,106,,336,,7,,,104,77,11,"3,091",5
Revised Ministry of Health (2018),Mwikhupo Dispensary,2020,129,,337,,18,,,21,13,,"2,182",
Revised Ministry of Health (2018),Mwikhupo Dispensary,2021,120,,514,,3,,,27,,3,"5,660",
Revised Ministry of Health (2018),Mwikhupo Dispensary,2022,369,3,539,,,,,9,,17,"22,316",
Revised Ministry of Health (2018),Mwikhupo Dispensary,2023,19,,586,,18,,,19,,29,"22,824",
Revised Ministry of Health (2018),Mwikhupo Dispensary,2024,59,,316,,11,,,10,19,1,"4,608",
Revised Ministry of Health (2018),Mwomo Dispensary,2020,68,,371,,,48,,74,81,,"3,852",
Revised Ministry of Health (2018),Mwomo Dispensary,2021,57,,392,5,,2,,96,85,,"7,498",
Revised Ministry of Health (2018),Mwomo Dispensary,2022,191,,444,,,239,,160,18,29,"5,578",
Revised Ministry of Health (2018),Mwomo Dispensary,2023,15,,530,,1,,,39,111,1,"6,567",
Revised Ministry of Health (2018),Mwomo Dispensary,2024,92,,258,,1,,,14,60,,"2,448",
Revised Ministry of Health (2018),Myanga Dispensary,2022,261,,426,,,,,97,65,,,
Revised Ministry of Health (2018),Myanga Dispensary,2023,,,469,,15,60,,173,140,5,"12,312",
Revised Ministry of Health (2018),Myanga Dispensary,2024,25,,197,20,1,,,68,62,,"3,024",
Revised Ministry of Health (2018),Nabukhisa Dispensary,2021,15,,33,,,,,29,,,244,
Revised Ministry of Health (2018),Nabukhisa Dispensary,2022,74,,182,,,,,78,39,29,764,
Revised Ministry of Health (2018),Nabukhisa Dispensary,2023,3,,66,,,,,83,67,31,"1,276",
Revised Ministry of Health (2018),Nabukhisa Dispensary,2024,39,,41,,,,,35,,36,842,
Revised Ministry of Health (2018),Naitiri Sub-County Hospital,2020,732,,"2,770",,233,,,494,264,,"321,508",38
Revised Ministry of Health (2018),Naitiri Sub-County Hospital,2021,724,,"1,978",,,,4,440,41,368,"44,026",64
Revised Ministry of Health (2018),Naitiri Sub-County Hospital,2022,"1,032",,"2,066",,,,2,703,67,569,"9,252",21
Revised Ministry of Health (2018),Naitiri Sub-County Hospital,2023,78,,"2,461",,52,,,801,69,188,"40,276",16
Revised Ministry of Health (2018),Naitiri Sub-County Hospital,2024,282,,"1,181",,47,,,179,76,61,"52,604",14
Revised Ministry of Health (2018),Nalondo Dispensary,2020,20,,289,,5,,,73,,,"10,080",2
Revised Ministry of Health (2018),Nalondo Dispensary,2021,29,,440,,,,,114,17,,"3,448",1
Revised Ministry of Health (2018),Nalondo Dispensary,2022,107,,376,,,,,23,37,19,"5,105",
Revised Ministry of Health (2018),Nalondo Dispensary,2023,,,275,,4,,,21,92,1,"5,780",
Revised Ministry of Health (2018),Nalondo Dispensary,2024,21,,215,,2,,,2,,10,"3,456",
Revised Ministry of Health (2018),Nalondo Health Centre (Model),2020,202,,398,,4,550,,499,254,,,5
Revised Ministry of Health (2018),Nalondo Health Centre (Model),2021,266,,467,,1,,,404,184,43,,8
Revised Ministry of Health (2018),Nalondo Health Centre (Model),2022,519,,853,31,,,,230,250,299,40,42
Revised Ministry of Health (2018),Nalondo Health Centre (Model),2023,,,489,,21,20,,300,164,14,"5,824",24
Revised Ministry of Health (2018),Nalondo Health Centre (Model),2024,41,,350,,5,,,153,27,33,"2,260",7
Revised Ministry of Health (2018),Namang'ofulo Dispensary,2020,62,,241,,,,,28,,,"1,786",
Revised Ministry of Health (2018),Namang'ofulo Dispensary,2021,89,,195,,,,,68,,,"5,323",
Revised Ministry of Health (2018),Namang'ofulo Dispensary,2022,114,,292,,,,,44,23,30,"8,496",
Revised Ministry of Health (2018),Namang'ofulo Dispensary,2023,24,,463,,10,,,39,32,4,"5,486",
Revised Ministry of Health (2018),Namang'ofulo Dispensary,2024,21,,194,,2,,,15,33,,"2,039",
Revised Ministry of Health (2018),Namarambi Dispensary,2020,127,,427,,10,,,93,23,,,21
Revised Ministry of Health (2018),Namarambi Dispensary,2021,112,,336,,,,,93,,,"2,374",8
Revised Ministry of Health (2018),Namarambi Dispensary,2022,298,,497,,,,,35,18,21,288,
Revised Ministry of Health (2018),Namarambi Dispensary,2023,24,,534,,37,,,33,4,27,"7,056",
Revised Ministry of Health (2018),Namarambi Dispensary,2024,77,,269,78,1,,,77,36,34,"1,038",
Revised Ministry of Health (2018),Namwatikho Dispensary,2020,86,,536,,,,,113,10,,"11,934",1
Revised Ministry of Health (2018),Namwatikho Dispensary,2021,265,,418,,,,,155,,,"7,185",
Revised Ministry of Health (2018),Namwatikho Dispensary,2022,120,,644,,,,,103,2,54,"6,930",
Revised Ministry of Health (2018),Namwatikho Dispensary,2023,21,,320,,10,,,143,19,10,"9,256",
Revised Ministry of Health (2018),Namwatikho Dispensary,2024,69,,290,,2,,,30,37,7,"3,889",
Revised Ministry of Health (2018),Napong'o Dispensary,2024,17,,27,,,,,,,9,100,
Revised Ministry of Health (2018),Nasaka Dispensary,2020,40,,619,,,"4,870",,65,16,,"13,530",
Revised Ministry of Health (2018),Nasaka Dispensary,2021,14,,784,,,,,75,24,,"2,052",
Revised Ministry of Health (2018),Nasaka Dispensary,2022,165,,601,,,,,81,40,40,,
Revised Ministry of Health (2018),Nasaka Dispensary,2023,109,,545,,43,,,70,10,,"5,172",
Revised Ministry of Health (2018),Nasaka Dispensary,2024,60,80,378,,11,,,36,27,,260,
Revised Ministry of Health (2018),Nasianda Health Centre,2020,128,,"1,537",,1,"2,760",,133,64,,"12,109",
Revised Ministry of Health (2018),Nasianda Health Centre,2021,180,,"1,755",,,90,,224,4,,"17,077",
Revised Ministry of Health (2018),Nasianda Health Centre,2022,988,,"1,190",,,,,166,106,157,"25,987",
Revised Ministry of Health (2018),Nasianda Health Centre,2023,63,,949,,9,"4,176",,181,230,10,"32,200",1
Revised Ministry of Health (2018),Nasianda Health Centre,2024,143,,415,,2,,,34,71,,"3,024",10
Revised Ministry of Health (2018),Nasusi Dispensary,2020,247,,"1,214",,20,,,158,12,,"18,337",1
Revised Ministry of Health (2018),Nasusi Dispensary,2021,370,,"1,216",,,,,148,,104,"14,034",
Revised Ministry of Health (2018),Nasusi Dispensary,2022,448,,787,,,10,,199,150,,"10,121",5
Revised Ministry of Health (2018),Nasusi Dispensary,2023,60,,318,36,,,,146,148,18,"9,863",1
Revised Ministry of Health (2018),Nasusi Dispensary,2024,40,,330,,,,,40,,32,"4,424",2
Revised Ministry of Health (2018),Ndalu Health Centre,2020,246,,"1,735",,4,102,,232,89,,"4,558",17
Revised Ministry of Health (2018),Ndalu Health Centre,2021,299,,672,,,202,,277,149,131,"26,744",7
Revised Ministry of Health (2018),Ndalu Health Centre,2022,633,,"1,143",,,508,,361,,217,"7,418",18
Revised Ministry of Health (2018),Ndalu Health Centre,2023,67,,"1,711",,30,"1,152",,245,69,35,"14,270",13
Revised Ministry of Health (2018),Ndalu Health Centre,2024,265,,491,,15,,,114,76,40,"3,456",1
Revised Ministry of Health (2018),Ndengelwa Dispensary,2020,258,,790,,1,32,,101,79,,"6,380",
Revised Ministry of Health (2018),Ndengelwa Dispensary,2021,394,,626,,,,,108,48,,"13,724",3
Revised Ministry of Health (2018),Ndengelwa Dispensary,2022,658,,784,,,,,146,129,60,"9,713",
Revised Ministry of Health (2018),Ndengelwa Dispensary,2023,24,,275,,,,,48,63,79,"17,036",
Revised Ministry of Health (2018),Ndengelwa Dispensary,2024,106,,281,,,,,22,20,11,"9,934",
Revised Ministry of Health (2018),Ng'oli Dispensary,2020,64,,309,,,105,,104,23,,"4,120",
Revised Ministry of Health (2018),Ng'oli Dispensary,2021,96,,784,,,,,88,,,"9,860",
Revised Ministry of Health (2018),Ng'oli Dispensary,2022,219,,444,,,,,74,92,82,"8,208",
Revised Ministry of Health (2018),Ng'oli Dispensary,2023,30,,424,,16,,,78,124,,"12,516",
Revised Ministry of Health (2018),Ng'oli Dispensary,2024,31,,244,40,1,,,28,5,,"2,676",12
Revised Ministry of Health (2018),Ngalasia Dispensary,2020,185,,676,,14,66,,54,24,,"6,326",4
Revised Ministry of Health (2018),Ngalasia Dispensary,2021,138,,625,,,41,,162,61,20,"9,129",3
Revised Ministry of Health (2018),Ngalasia Dispensary,2022,272,,764,,,16,,55,40,70,"3,428",3
Revised Ministry of Health (2018),Ngalasia Dispensary,2023,,,670,,9,,,79,,1,"2,263",2
Revised Ministry of Health (2018),Ngalasia Dispensary,2024,60,,366,,4,,,71,61,4,804,
Revised Ministry of Health (2018),Pwani Dispensary,2020,126,1,523,,,,,72,53,,,3
Revised Ministry of Health (2018),Pwani Dispensary,2021,162,2,573,,,,,80,,23,,3
Revised Ministry of Health (2018),Pwani Dispensary,2022,213,1,671,,,,,58,,,576,6
Revised Ministry of Health (2018),Pwani Dispensary,2023,27,2,799,,13,,,43,,59,720,11
Revised Ministry of Health (2018),Pwani Dispensary,2024,80,,225,,,,,8,8,12,720,
Revised Ministry of Health (2018),Ranje Dispensary,2020,136,,784,,10,,,40,67,,"4,672",1
Revised Ministry of Health (2018),Ranje Dispensary,2021,296,,827,,2,,,206,,,"9,676",1
Revised Ministry of Health (2018),Ranje Dispensary,2022,316,,691,,3,,,176,64,40,"6,336",3
Revised Ministry of Health (2018),Ranje Dispensary,2023,30,,708,,,40,,117,139,41,"13,680",4
Revised Ministry of Health (2018),Ranje Dispensary,2024,109,,434,16,4,14,,60,53,,"7,344",
Revised Ministry of Health (2018),Ruanda Dispensary,2020,19,,"1,157",,,,,61,10,,"17,725",
Revised Ministry of Health (2018),Ruanda Dispensary,2021,269,,475,,,,,41,,,"19,992",
Revised Ministry of Health (2018),Ruanda Dispensary,2022,279,,525,,,,,53,240,312,576,
Revised Ministry of Health (2018),Ruanda Dispensary,2023,1,,248,,4,,,79,102,250,"14,300",
Revised Ministry of Health (2018),Ruanda Dispensary,2024,36,,194,,3,,,19,47,43,"5,472",
Revised Ministry of Health (2018),Sacha Health Centre,2020,60,,501,,,,,23,43,,"4,312",
Revised Ministry of Health (2018),Sacha Health Centre,2021,103,,611,,2,20,,63,,,"3,756",
Revised Ministry of Health (2018),Sacha Health Centre,2022,135,,758,,,,,73,63,,"6,068",
Revised Ministry of Health (2018),Sacha Health Centre,2023,,,665,,,40,,38,87,7,"6,852",
Revised Ministry of Health (2018),Sacha Health Centre,2024,18,,341,,,,,20,10,,"3,360",
Revised Ministry of Health (2018),Samoya Dispensary,2021,12,,75,,1,,,12,,,720,
Revised Ministry of Health (2018),Samoya Dispensary,2022,23,,358,,2,,,43,20,3,"2,280",
Revised Ministry of Health (2018),Samoya Dispensary,2023,45,,243,,,,,42,30,27,"6,768",
Revised Ministry of Health (2018),Samoya Dispensary,2024,32,,68,,,,,32,11,,"1,296",
Revised Ministry of Health (2018),Sango Kabuyefwe Dispensary,2020,101,5,310,,4,,,19,10,,"10,042",
Revised Ministry of Health (2018),Sango Kabuyefwe Dispensary,2021,48,,347,,1,,,10,,6,"4,212",
Revised Ministry of Health (2018),Sango Kabuyefwe Dispensary,2022,123,,314,,2,,,16,,6,"8,064",
Revised Ministry of Health (2018),Sango Kabuyefwe Dispensary,2023,30,,269,,10,,,28,,38,"7,632",
Revised Ministry of Health (2018),Sango Kabuyefwe Dispensary,2024,51,,102,,3,,,5,13,3,"3,350",
Revised Ministry of Health (2018),Sango Naitiri Dispensary,2020,140,1,643,,9,39,,95,1,,"12,258",3
Revised Ministry of Health (2018),Sango Naitiri Dispensary,2021,32,,501,,,,,94,,44,"19,459",8
Revised Ministry of Health (2018),Sango Naitiri Dispensary,2022,36,,419,,,,,200,,,"4,593",5
Revised Ministry of Health (2018),Sango Naitiri Dispensary,2023,7,,242,,12,,,107,,5,"9,164",2
Revised Ministry of Health (2018),Sango Naitiri Dispensary,2024,78,,253,,23,,,26,39,15,"4,812",
Revised Ministry of Health (2018),Siboti Model Health Centre,2020,12,,"1,032",,,30,,258,3,,"18,908",3
Revised Ministry of Health (2018),Siboti Model Health Centre,2021,329,,"1,341",,,,,179,,7,"38,833",1
Revised Ministry of Health (2018),Siboti Model Health Centre,2022,268,,865,,,,,156,74,92,"42,359",6
Revised Ministry of Health (2018),Siboti Model Health Centre,2023,18,,842,,3,,,173,324,8,"10,044",5
Revised Ministry of Health (2018),Siboti Model Health Centre,2024,105,,318,,12,,,39,82,14,"5,548",
Revised Ministry of Health (2018),Sikulu Health Centre,2020,277,,362,,,,,57,10,,"13,871",
Revised Ministry of Health (2018),Sikulu Health Centre,2021,212,,474,,,,,60,11,17,"15,688",
Revised Ministry of Health (2018),Sikulu Health Centre,2022,255,,629,,,,,82,60,68,576,
Revised Ministry of Health (2018),Sikulu Health Centre,2023,36,,484,,20,,,56,,,"12,240",
Revised Ministry of Health (2018),Sikulu Health Centre,2024,98,,440,,12,,,37,49,,"2,855",
Revised Ministry of Health (2018),Sikusi Dispensary,2020,136,,563,,,10,,33,1,,"5,285",
Revised Ministry of Health (2018),Sikusi Dispensary,2021,270,,942,,,10,,87,12,,"11,469",
Revised Ministry of Health (2018),Sikusi Dispensary,2022,764,,337,,,5,,126,128,82,"5,826",
Revised Ministry of Health (2018),Sikusi Dispensary,2023,,,567,,6,,,98,75,23,"4,417",
Revised Ministry of Health (2018),Sikusi Dispensary,2024,88,,351,,,,,37,26,12,"3,340",
Revised Ministry of Health (2018),Sinoko Dispensary (Bungoma East),2020,203,,898,,,,,301,53,,"15,328",4
Revised Ministry of Health (2018),Sinoko Dispensary (Bungoma East),2021,756,,696,,,,,441,,,"38,000",25
Revised Ministry of Health (2018),Sinoko Dispensary (Bungoma East),2022,531,,"1,167",,,,,80,149,156,"20,304",19
Revised Ministry of Health (2018),Sinoko Dispensary (Bungoma East),2023,66,,"1,204",100,32,,,296,31,76,"40,216",6
Revised Ministry of Health (2018),Sinoko Dispensary (Bungoma East),2024,197,,434,198,6,,,50,50,11,"10,202",
Revised Ministry of Health (2018),Sirakaru Dispensary,2020,120,,524,,4,,,31,180,,"1,332",
Revised Ministry of Health (2018),Sirakaru Dispensary,2021,153,,556,,37,,,41,,53,"1,000",
Revised Ministry of Health (2018),Sirakaru Dispensary,2022,331,,436,,,,,30,,22,,
Revised Ministry of Health (2018),Sirakaru Dispensary,2023,29,,375,,20,,,9,,26,500,
Revised Ministry of Health (2018),Sirakaru Dispensary,2024,84,,288,,1,,,3,,15,,
Revised Ministry of Health (2018),Sirisia Sub County Hospital,2020,258,,"2,031",,19,,,459,46,,"22,302",31
Revised Ministry of Health (2018),Sirisia Sub County Hospital,2021,996,,"1,462",,9,1,,569,44,,"33,223",22
Revised Ministry of Health (2018),Sirisia Sub County Hospital,2022,823,,"1,983",,5,20,,208,237,393,"37,620",14
Revised Ministry of Health (2018),Sirisia Sub County Hospital,2023,108,,"1,004",,15,86,,469,209,39,"33,447",6
Revised Ministry of Health (2018),Sirisia Sub County Hospital,2024,279,,"1,051",,14,65,,206,92,120,"8,729",8
Revised Ministry of Health (2018),Sitikho Dispensary,2020,46,,907,,,,,53,23,,"1,970",
Revised Ministry of Health (2018),Sitikho Dispensary,2021,137,,937,25,,,,65,25,,"3,556",
Revised Ministry of Health (2018),Sitikho Dispensary,2022,495,,475,,,,,11,30,76,"7,270",1
Revised Ministry of Health (2018),Sitikho Dispensary,2023,57,,328,,,,,39,65,,"1,152",
Revised Ministry of Health (2018),Sitikho Dispensary,2024,20,,250,,,,,14,,,,
Revised Ministry of Health (2018),Sulwe Dispensary,2020,6,,251,,5,,,29,9,,"2,089",
Revised Ministry of Health (2018),Sulwe Dispensary,2021,47,,229,,,,,46,1,81,"2,060",
Revised Ministry of Health (2018),Sulwe Dispensary,2022,3,,259,,,,,143,45,6,"2,638",
Revised Ministry of Health (2018),Sulwe Dispensary,2023,1,,179,,,,,66,32,,"2,995",
Revised Ministry of Health (2018),Sulwe Dispensary,2024,31,,45,,,,,56,,,"1,130",
Revised Ministry of Health (2018),Tabani Dispensary,2020,124,,905,,16,,,33,21,,"4,345",
Revised Ministry of Health (2018),Tabani Dispensary,2021,98,1,468,,,,,64,,27,"5,706",1
Revised Ministry of Health (2018),Tabani Dispensary,2022,102,,414,,,,,40,,22,288,
Revised Ministry of Health (2018),Tabani Dispensary,2023,106,,370,,5,,,42,,38,720,
Revised Ministry of Health (2018),Tabani Dispensary,2024,155,,151,,1,,,16,7,8,288,
Revised Ministry of Health (2018),Talitia Dispensary,2020,75,,968,,3,,,50,1,,"8,160",
Revised Ministry of Health (2018),Talitia Dispensary,2021,51,,986,,,,,176,28,3,"19,968",
Revised Ministry of Health (2018),Talitia Dispensary,2022,205,,625,,,100,,98,69,51,"13,112",12
Revised Ministry of Health (2018),Talitia Dispensary,2023,12,,672,,20,"2,160",,54,85,6,"22,368",
Revised Ministry of Health (2018),Talitia Dispensary,2024,69,,388,20,6,,,17,15,6,"3,744",2
Revised Ministry of Health (2018),Tamlega Dispensary,2020,250,,542,,,30,,20,19,,"3,526","1,072"
Revised Ministry of Health (2018),Tamlega Dispensary,2021,157,,416,,,,,78,19,,"16,554",
Revised Ministry of Health (2018),Tamlega Dispensary,2022,105,,633,,,600,,20,47,77,"6,336",
Revised Ministry of Health (2018),Tamlega Dispensary,2023,9,,373,,3,,,38,53,42,"20,089",
Revised Ministry of Health (2018),Tamlega Dispensary,2024,35,,158,,5,,,8,33,,"3,166",
Revised Ministry of Health (2018),Toboo Dispensary,2024,,,16,,,,,2,,,80,
Revised Ministry of Health (2018),Tongaren Model Health Centre,2020,197,,"1,651",,,,,315,38,,"10,057",21
Revised Ministry of Health (2018),Tongaren Model Health Centre,2021,247,1,"1,129",,,,,179,157,124,"15,324",3
Revised Ministry of Health (2018),Tongaren Model Health Centre,2022,431,,"1,394",,,,,287,,46,"7,170",10
Revised Ministry of Health (2018),Tongaren Model Health Centre,2023,141,,"1,507",,10,,,341,6,72,"20,736",14
Revised Ministry of Health (2018),Tongaren Model Health Centre,2024,276,,374,,2,,,108,55,6,"1,728",3
Revised Ministry of Health (2018),Tuikut Dispensary,2020,126,,838,,3,,,118,15,,"8,660",
Revised Ministry of Health (2018),Tuikut Dispensary,2021,340,,686,,8,,,66,,,"22,704",
Revised Ministry of Health (2018),Tuikut Dispensary,2022,587,,765,25,,,,18,59,109,"6,446",
Revised Ministry of Health (2018),Tuikut Dispensary,2023,20,,189,100,4,,,57,200,59,"10,250",
Revised Ministry of Health (2018),Tuikut Dispensary,2024,220,,279,,2,,,60,22,16,"4,232",
Revised Ministry of Health (2018),Tulienge  Dispensary,2020,71,,205,,,,,4,7,,"8,448",
Revised Ministry of Health (2018),Tulienge  Dispensary,2021,68,,133,,,,,48,,,"14,328",
Revised Ministry of Health (2018),Tulienge  Dispensary,2022,88,,340,,,,,6,19,6,"4,512",
Revised Ministry of Health (2018),Tulienge  Dispensary,2023,3,,173,,,,,19,17,12,"1,584",
Revised Ministry of Health (2018),Tulienge  Dispensary,2024,31,,133,,,,,12,9,11,"1,872",1
Revised Ministry of Health (2018),Wasio Dispensary,2020,56,,396,,,,,45,11,,"5,456",
Revised Ministry of Health (2018),Wasio Dispensary,2021,129,,601,,,,,39,,,"10,050",
Revised Ministry of Health (2018),Wasio Dispensary,2022,114,,700,,,,,15,14,28,312,
Revised Ministry of Health (2018),Wasio Dispensary,2023,57,,332,5,4,,,12,44,50,"5,996",
Revised Ministry of Health (2018),Wasio Dispensary,2024,81,,93,,,,,8,5,34,"4,176",
Revised Ministry of Health (2018),Webuye Health Centre,2020,16,,161,,,,,47,,,"1,152",
Revised Ministry of Health (2018),Webuye Health Centre,2022,3,,249,,,,,16,66,20,,
Revised Ministry of Health (2018),Webuye Health Centre,2023,30,,627,16,34,,,75,118,77,"7,084",
Revised Ministry of Health (2018),Webuye Health Centre,2024,176,,181,133,2,,,48,52,15,"4,593",
Revised Ministry of Health (2018),Webuye Hospital,2020,"1,240",,"3,660",,19,403,,338,55,,"42,024","26,673"
Revised Ministry of Health (2018),Webuye Hospital,2021,800,,"3,457",,15,382,,576,,39,"83,768",36
Revised Ministry of Health (2018),Webuye Hospital,2022,"2,855",520,"3,498",,,"3,815",,571,344,624,"16,376",92
Revised Ministry of Health (2018),Webuye Hospital,2023,136,,"2,475",,2,30,3,450,229,424,"19,609",137
Revised Ministry of Health (2018),Webuye Hospital,2024,608,,"1,251",110,4,25,1,216,126,100,"30,299",22
